Read ID,Read Length,Read Qscore,Structure Label,QC Bucket,QC Flags,Is Reversed,Order Valid,5p Offset,3p Offset,N Fraction,Invalid Base Fraction,Anchor Count
250FC00716011_16_2133_13837_283452107_16758_1_13.83_1 strand=+,1097,13.92,full_structure,pass,,False,True,0.0000,0.0191,0.0000,0.0000,2
250FC00716011_16_2135_9955_283460340_9573_0_15.18_1 strand=+,575,15.53,full_structure,pass,,False,True,0.0000,0.0365,0.0000,0.0000,2
250FC00716011_16_2136_10789_283452077_15502_1_17.95_1 strand=-,825,18.23,full_structure,pass,,False,True,0.0000,0.0255,0.0000,0.0000,2
250FC00716011_16_2146_7548_283449100_19891_2_17.06_1 strand=-,1282,16.90,full_structure,pass,,False,True,0.0000,0.0164,0.0000,0.0000,2
250FC00716011_16_2164_9078_283455014_10385_1_15.36_1 strand=+,799,15.39,full_structure,pass,,False,True,0.0000,0.0250,0.0000,0.0000,2
250FC00716011_16_2183_10331_283456234_10152_0_15.03_1 strand=+,681,14.93,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0661,0.0000,0.0000,3
250FC00716011_16_2205_9209_283453315_13897_0_16.33_1 strand=+,1041,15.95,full_structure,pass,,False,True,0.0000,0.0202,0.0000,0.0000,2
250FC00716011_16_2223_7437_283450400_16178_0_16.62_1 strand=-,1132,16.65,full_structure,pass,,False,True,0.0000,0.0194,0.0000,0.0000,2
250FC00716011_16_2264_11297_283454372_12174_0_15.57_1 strand=-,781,15.12,full_structure,pass,,False,True,0.0000,0.0282,0.0000,0.0000,2
250FC00716011_16_2266_12647_283452577_12808_0_10.82_1 strand=-,877,10.87,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0228,0.0000,0.0000,1
250FC00716011_16_2274_11613_283453277_15724_3_15.65_1 strand=+,1137,16.31,full_structure,pass,,False,True,0.0000,0.0185,0.0000,0.0000,2
250FC00716011_16_2278_13828_283448498_18909_0_14.44_1 strand=-,1420,14.42,full_structure,pass,,False,True,0.0000,0.0148,0.0000,0.0000,2
250FC00716011_16_2303_12041_283439884_29537_2_16.09_1 strand=-,2073,15.95,full_structure,pass,,False,True,0.0000,0.0101,0.0000,0.0000,2
250FC00716011_16_2077_9499_283466663_8062_1_17.03_1 strand=-,440,16.84,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0477,0.0000,0.0000,1
250FC00716011_16_2092_9618_283453575_16801_0_16.82_1 strand=+,1097,16.91,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0356,0.0000,0.0000,3
250FC00716011_16_2103_10498_283454357_17905_0_14.90_1 strand=+,1021,15.35,full_structure,pass,,False,True,0.0000,0.0206,0.0000,0.0000,2
250FC00716011_16_2132_9340_283457465_15060_0_16.27_1 strand=+,1013,16.92,full_structure,pass,,False,True,0.0000,0.0207,0.0000,0.0000,2
250FC00716011_16_2168_11960_283456857_14704_1_14.74_1 strand=+,830,14.98,full_structure,pass,,False,True,0.0000,0.0241,0.0000,0.0000,2
250FC00716011_16_2169_13079_283458346_12430_0_14.38_1 strand=+,772,14.44,full_structure,pass,,False,True,0.0000,0.0155,0.0000,0.0000,2
250FC00716011_16_2172_10022_283460969_12195_0_15.04_1 strand=+,796,15.04,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0264,0.0000,0.0000,1
250FC00716011_16_2197_12281_283458237_12813_0_15.20_1 strand=-,883,15.32,full_structure,pass,,False,True,0.0000,0.0238,0.0000,0.0000,2
250FC00716011_16_2218_10031_283466609_6568_0_9.27 strand=+,412,8.78,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0922,0.0000,0.0000,1
250FC00716011_16_2250_10804_283464633_6905_0_15.54_1 strand=+,435,15.76,full_structure,pass,,False,True,0.0000,0.0483,0.0000,0.0000,2
250FC00716011_16_2276_13163_283457537_14068_0_18.46_1 strand=-,902,18.26,full_structure,pass,,False,True,0.0000,0.0233,0.0000,0.0000,2
250FC00716011_16_2281_12634_283463974_8194_0_13.62_1 strand=-,459,13.76,full_structure,pass,,False,True,0.0000,0.0458,0.0000,0.0000,2
250FC00716011_16_2060_11553_283465886_12086_0_16.41_1 strand=+,858,16.36,full_structure,pass,,False,True,0.0000,0.0245,0.0000,0.0000,2
250FC00716011_16_2070_11146_283468781_10622_0_15.82_1 strand=-,660,15.86,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0621,0.0000,0.0000,3
250FC00716011_16_2086_12213_283453526_23072_0_18.38_1 strand=+,1437,18.19,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.7996,0.0000,0.0000,4
250FC00716011_16_2130_11690_283463136_13988_0_15.40_1 strand=+,688,16.24,full_structure,pass,,False,True,0.0000,0.0305,0.0000,0.0000,2
250FC00716011_16_2189_10636_283465586_11301_1_7.88_1 strand=-,771,7.62,full_structure,low_read_q,low_read_q,False,True,0.0000,0.0597,0.0000,0.0000,2
250FC00716011_16_2208_12121_283429205_50716_0_16.97_1 strand=+,3675,16.99,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2220_13480_283465339_13017_0_16.65_1 strand=-,683,16.96,full_structure,pass,,False,True,0.0000,0.0307,0.0000,0.0000,2
250FC00716011_16_2223_7438_283467996_9693_0_13.23_1 strand=-,466,13.26,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0901,0.0000,0.0000,3
250FC00716011_16_2234_8035_283466377_11646_1_14.19_1 strand=-,744,13.32,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2254_9258_283464621_14484_3_19.35_1 strand=+,739,19.31,full_structure,pass,,False,True,0.0000,0.0284,0.0000,0.0000,2
250FC00716011_16_2256_12759_283469609_7936_0_14.23_1 strand=+,618,14.27,full_structure,pass,,False,True,0.0000,0.0194,0.0000,0.0000,2
250FC00716011_16_2266_12648_283465738_13766_0_17.98_1 strand=+,840,19.11,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.2250,0.0000,0.0000,3
250FC00716011_16_2055_8114_283468769_11477_1_15.39_1 strand=-,655,15.47,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0321,0.0000,0.0000,1
250FC00716011_16_2092_9619_283472243_8496_0_15.17_1 strand=+,554,15.51,full_structure,pass,,False,True,0.0000,0.0379,0.0000,0.0000,2
250FC00716011_16_2111_8347_283473167_11312_2_20.46_1 strand=+,559,20.49,full_structure,pass,,False,True,0.0000,0.0215,0.0000,0.0000,2
250FC00716011_16_2119_9083_283470155_10414_1_15.53_1 strand=+,573,16.21,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0366,0.0000,0.0000,1
250FC00716011_16_2122_11648_283466313_9500_0_14.26_1 strand=-,648,14.42,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,,0.6389,0.0000,0.0000,2
250FC00716011_16_2164_9080_283474936_8349_1_12.61_1 strand=+,549,12.67,full_structure,low_read_q,low_read_q,False,True,0.0000,0.0164,0.0000,0.0000,2
250FC00716011_16_2175_10619_283463313_17005_0_18.52_1 strand=+,472,18.23,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0763,0.0000,0.0000,3
250FC00716011_16_2197_12282_283473208_8144_0_18.13_1 strand=-,487,17.36,full_structure,pass,,False,True,0.0000,0.0431,0.0000,0.0000,2
250FC00716011_16_2240_7912_283458329_22982_1_18.16_1 strand=+,515,18.16,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0155,0.0000,0.0000,1
250FC00716011_16_2060_11554_283478625_8997_0_11.96_1 strand=+,429,12.00,full_structure,low_read_q,low_read_q,False,True,0.0000,0.0000,0.0000,0.0000,2
250FC00716011_16_2088_11642_283470946_16385_2_19.70_1 strand=+,1092,18.17,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0192,0.0000,0.0000,1
250FC00716011_16_2103_10499_283472699_14199_0_20.00_1 strand=-,625,19.93,missing_5p_anchor,missing_5p,missing_5p;three_prime_truncated,True,False,,0.3984,0.0000,0.0000,1
250FC00716011_16_2108_12200_283467498_18660_0_12.91_1 strand=-,797,13.30,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2135_9956_283471015_16650_0_12.29_1 strand=-,1124,12.40,internal_3p_anchor,low_read_q,low_read_q;internal_adapter,False,False,0.0000,0.0374,0.0000,0.0000,3
250FC00716011_16_2136_10790_283468194_16845_1_16.95_1 strand=+,1071,16.71,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0196,0.0000,0.0000,1
250FC00716011_16_2154_10403_283481055_7988_0_16.10_1 strand=-,525,15.62,full_structure,pass,,False,True,0.0000,0.0400,0.0000,0.0000,2
250FC00716011_16_2172_10023_283473837_11417_0_14.41_1 strand=+,817,14.45,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0000,0.0000,0.0000,1
250FC00716011_16_2183_10332_283469149_18510_0_19.89_1 strand=-,1114,19.73,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.1732,0.0000,0.0000,3
250FC00716011_16_2218_10032_283474290_11546_0_8.49_1 strand=-,810,8.54,internal_3p_anchor,low_read_q,low_read_q;internal_adapter;three_prime_truncated,False,False,,0.6247,0.0000,0.0000,3
250FC00716011_16_2220_13481_283481143_8639_0_19.27_1 strand=+,471,20.96,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.4225,0.0000,0.0000,3
250FC00716011_16_2234_8036_283478899_9326_1_16.21_1 strand=+,603,16.54,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,,0.3483,0.0000,0.0000,2
250FC00716011_16_2250_10805_283475818_10127_0_17.68_1 strand=-,716,17.69,full_structure,pass,,False,True,0.0000,0.0307,0.0000,0.0000,2
250FC00716011_16_2276_13164_283471961_16671_0_16.92_1 strand=-,860,16.91,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0244,0.0000,0.0000,1
250FC00716011_16_2281_12635_283473944_14117_0_14.62_1 strand=+,713,15.32,full_structure,pass,,False,True,0.0000,0.0295,0.0000,0.0000,2
250FC00716011_16_2055_8115_283480611_10705_1_17.40_1 strand=-,711,17.13,missing_5p_anchor,missing_5p,missing_5p;three_prime_truncated,True,False,,0.6062,0.0000,0.0000,1
250FC00716011_16_2072_8892_283478006_15807_0_14.61_1 strand=-,996,14.66,full_structure,pass,,False,True,0.0000,0.0211,0.0000,0.0000,2
250FC00716011_16_2085_9547_283465967_25089_0_9.22_1 strand=+,1916,9.17,internal_3p_anchor,low_read_q,low_read_q;internal_adapter,False,False,,0.0261,0.0000,0.0000,2
250FC00716011_16_2119_9084_283482350_11262_1_15.30_1 strand=-,454,16.36,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0925,0.0000,0.0000,3
250FC00716011_16_2123_11306_283480140_10782_0_16.57_1 strand=+,635,16.59,full_structure,pass,,False,True,0.0000,0.0331,0.0000,0.0000,2
250FC00716011_16_2133_13838_283471065_19347_1_15.16_1 strand=-,1015,15.15,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0227,0.0000,0.0000,1
250FC00716011_16_2136_10791_283486681_7864_1_14.08_1 strand=-,544,14.66,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0386,0.0000,0.0000,1
250FC00716011_16_2144_8435_283459693_30347_2_15.56_1 strand=+,2199,15.56,full_structure,pass,,False,True,0.0000,0.0059,0.0000,0.0000,2
250FC00716011_16_2146_7549_283470261_23997_2_17.63_1 strand=+,880,18.00,full_structure,pass,,False,True,0.0000,0.0239,0.0000,0.0000,2
250FC00716011_16_2146_7549_283470261_23997_2_17.63_2 strand=-,798,17.29,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2164_9081_283483311_6904_1_13.83_1 strand=-,460,13.74,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2175_10620_283483691_9956_0_16.77_1 strand=-,669,16.88,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0314,0.0000,0.0000,1
250FC00716011_16_2197_12283_283481790_11175_0_17.44_1 strand=+,641,17.50,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0468,0.0000,0.0000,3
250FC00716011_16_2223_7439_283479026_12722_0_18.03_1 strand=-,635,17.68,full_structure,pass,,False,True,0.0000,0.0331,0.0000,0.0000,2
250FC00716011_16_2253_14424_283480653_9500_0_13.01_1 strand=+,636,13.10,no_anchor_detected,no_anchor,no_anchor,False,False,,,0.0000,0.0000,0
250FC00716011_16_2261_9149_283451800_41353_0_16.74_1 strand=+,2379,16.75,internal_3p_anchor,internal_adapter,internal_adapter,False,False,,0.1328,0.0000,0.0000,2
250FC00716011_16_2264_11298_283466758_24247_0_14.71_1 strand=-,1849,14.76,full_structure,pass,,False,True,0.0000,0.0114,0.0000,0.0000,2
250FC00716011_16_2274_11615_283477466_16675_3_15.59_1 strand=-,829,15.79,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2066_10571_283473249_22428_0_15.67_1 strand=-,1557,15.70,full_structure,pass,,False,True,0.0000,0.0135,0.0000,0.0000,2
250FC00716011_16_2092_9620_283482393_13972_0_16.41_1 strand=+,1051,16.42,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0324,0.0000,0.0000,3
250FC00716011_16_2111_8348_283486050_9512_2_13.18_1 strand=-,512,13.23,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2172_10024_283486430_12664_0_15.52_1 strand=+,620,15.46,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0339,0.0000,0.0000,1
250FC00716011_16_2208_12122_283485023_10434_0_16.00_1 strand=+,740,15.95,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.3230,0.0000,0.0000,3
250FC00716011_16_2218_10033_283487269_10313_0_8.46_1 strand=-,648,8.55,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0340,0.0000,0.0000,1
250FC00716011_16_2240_7913_283485399_10550_1_17.60_1 strand=-,659,17.48,full_structure,pass,,False,True,0.0000,0.0319,0.0000,0.0000,2
250FC00716011_16_2250_10806_283487768_12169_0_15.46_1 strand=-,922,15.38,full_structure,pass,,False,True,0.0000,0.0228,0.0000,0.0000,2
250FC00716011_16_2266_12649_283484095_14479_0_14.47_1 strand=-,863,14.45,full_structure,pass,,False,True,0.0000,0.0255,0.0000,0.0000,2
250FC00716011_16_2276_13165_283488678_10401_0_17.22_1 strand=-,749,17.29,full_structure,pass,,False,True,0.0000,0.0280,0.0000,0.0000,2
250FC00716011_16_2303_12042_283473849_23175_2_14.35_1 strand=-,1661,14.32,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0126,0.0000,0.0000,1
250FC00716011_16_2070_11147_283482310_19240_0_13.28_1 strand=-,1088,13.16,full_structure,pass,,False,True,0.0000,0.0202,0.0000,0.0000,2
250FC00716011_16_2072_8893_283494761_8634_0_12.54_1 strand=+,577,12.55,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0156,0.0000,0.0000,1
250FC00716011_16_2086_12214_283477848_23368_0_16.47_1 strand=-,1680,16.43,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.1060,0.0000,0.0000,3
250FC00716011_16_2088_11643_283493946_9480_2_15.41_1 strand=-,419,16.41,no_anchor_detected,no_anchor,no_anchor,False,False,,,0.0000,0.0000,0
250FC00716011_16_2101_1229_283494366_8922_2_12.66_1 strand=-,484,13.10,full_structure,pass,,False,True,0.0000,0.0434,0.0000,0.0000,2
250FC00716011_16_2108_12201_283492778_9909_0_19.87_1 strand=-,597,21.03,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,,0.8928,0.0000,0.0000,2
250FC00716011_16_2122_11649_283483133_19629_0_15.15_1 strand=+,916,15.38,full_structure,pass,,False,True,0.0000,0.0207,0.0000,0.0000,2
250FC00716011_16_2133_13839_283493894_7430_1_12.23_1 strand=+,509,12.24,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0255,0.0000,0.0000,1
250FC00716011_16_2144_8436_283490601_11460_2_15.56_1 strand=+,464,15.56,full_structure,pass,,False,True,0.0000,0.0453,0.0000,0.0000,2
250FC00716011_16_2154_10404_283489352_13778_0_14.52_1 strand=-,887,14.56,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0237,0.0000,0.0000,1
250FC00716011_16_2168_11961_283477653_26947_1_14.43_1 strand=-,1167,14.76,full_structure,pass,,False,True,0.0000,0.0180,0.0000,0.0000,2
250FC00716011_16_2168_11961_283477653_26947_1_14.43_2 strand=+,772,14.41,full_structure,pass,,False,True,0.0000,0.0272,0.0000,0.0000,2
250FC00716011_16_2169_13080_283473152_30553_0_14.01_1 strand=+,2340,14.12,full_structure,pass,,False,True,0.0000,0.0090,0.0000,0.0000,2
250FC00716011_16_2183_10334_283492249_9998_0_14.92_1 strand=-,606,15.37,full_structure,pass,,False,True,0.0000,0.0347,0.0000,0.0000,2
250FC00716011_16_2205_9211_283485406_16412_0_15.73_1 strand=-,1037,15.73,full_structure,pass,,False,True,0.0000,0.0222,0.0000,0.0000,2
250FC00716011_16_2220_13482_283490531_11161_0_22.25_1 strand=-,768,22.27,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0273,0.0000,0.0000,1
250FC00716011_16_2223_7440_283492225_10233_0_13.58_1 strand=-,450,13.64,full_structure,pass,,False,True,0.0000,0.0000,0.0000,0.0000,2
250FC00716011_16_2254_9259_283495093_8929_3_14.35_1 strand=-,540,14.48,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.4222,0.0000,0.0000,3
250FC00716011_16_2278_13830_283479790_22775_0_17.36_1 strand=-,1659,17.46,full_structure,pass,,False,True,0.0000,0.0127,0.0000,0.0000,2
250FC00716011_16_2281_12636_283489050_15157_0_15.18_1 strand=+,993,15.18,full_structure,pass,,False,True,0.0000,0.0211,0.0000,0.0000,2
250FC00716011_16_2303_12043_283497397_6134_2_15.80_1 strand=+,330,16.74,full_structure,pass,,False,True,0.0000,0.0636,0.0000,0.0000,2
250FC00716011_16_2103_10500_283492187_16803_0_18.88_1 strand=+,1054,19.07,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.3188,0.0000,0.0000,4
250FC00716011_16_2104_9130_283494578_12624_0_17.09_1 strand=+,698,16.76,full_structure,pass,,False,True,0.0000,0.0158,0.0000,0.0000,2
250FC00716011_16_2119_9085_283495266_10376_1_15.96_1 strand=-,614,16.16,internal_3p_anchor,internal_adapter,internal_adapter,False,False,,0.0668,0.0000,0.0000,2
250FC00716011_16_2123_11307_283493469_13748_0_17.54_1 strand=+,919,16.87,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0229,0.0000,0.0000,1
250FC00716011_16_2130_11691_283477251_28326_0_16.90_1 strand=-,1757,16.79,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0114,0.0000,0.0000,1
250FC00716011_16_2135_9958_283492093_13755_0_17.42_1 strand=+,843,18.45,full_structure,pass,,False,True,0.0000,0.0249,0.0000,0.0000,2
250FC00716011_16_2146_7550_283495640_9627_2_15.61_1 strand=+,602,16.63,full_structure,pass,,False,True,0.0000,0.0349,0.0000,0.0000,2
250FC00716011_16_2164_9082_283490925_16464_1_14.08_1 strand=+,915,14.29,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0230,0.0000,0.0000,1
250FC00716011_16_2175_10621_283493886_15111_0_16.14_1 strand=+,871,16.26,full_structure,pass,,False,True,0.0000,0.0333,0.0000,0.0000,2
250FC00716011_16_2240_7914_283497047_11975_1_18.43_1 strand=+,843,18.50,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.4638,0.0000,0.0000,3
250FC00716011_16_2261_9150_283498664_8602_0_15.76_1 strand=+,558,15.96,full_structure,pass,,False,True,0.0000,0.0376,0.0000,0.0000,2
250FC00716011_16_2264_11299_283497348_10452_0_12.15_1 strand=-,745,12.06,full_structure,low_read_q,low_read_q,False,True,0.0000,0.0255,0.0000,0.0000,2
250FC00716011_16_2060_11555_283489836_21208_0_16.53_1 strand=-,1284,15.91,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.1145,0.0000,0.0000,3
250FC00716011_16_2066_10572_283495710_18154_0_13.66_1 strand=+,577,15.42,full_structure,pass,,False,True,0.0000,0.0399,0.0000,0.0000,2
250FC00716011_16_2066_10572_283495710_18154_0_13.66_2 strand=+,579,12.96,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0363,0.0000,0.0000,1
250FC00716011_16_2092_9621_283496846_13594_0_16.50_1 strand=-,993,16.36,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.6455,0.0000,0.0000,4
250FC00716011_16_2136_10792_283497423_13228_1_21.05_1 strand=-,754,20.38,full_structure,pass,,False,True,0.0000,0.0279,0.0000,0.0000,2
250FC00716011_16_2144_8437_283504453_9907_2_15.29_1 strand=+,623,15.16,full_structure,pass,,False,True,0.0000,0.0337,0.0000,0.0000,2
250FC00716011_16_2173_10037_283490377_22917_2_15.35_1 strand=-,857,19.19,full_structure,pass,,False,True,0.0000,0.0245,0.0000,0.0000,2
250FC00716011_16_2173_10037_283490377_22917_2_15.35_2 strand=+,752,13.23,internal_3p_anchor,internal_adapter,internal_adapter,False,False,,0.0465,0.0000,0.0000,2
250FC00716011_16_2205_9212_283502721_7309_0_13.55_1 strand=+,468,14.11,full_structure,pass,,False,True,0.0000,0.0427,0.0000,0.0000,2
250FC00716011_16_2234_8037_283490344_20409_1_16.62_1 strand=+,1284,16.83,full_structure,pass,,False,True,0.0000,0.0164,0.0000,0.0000,2
250FC00716011_16_2238_10491_283498118_15414_2_17.14_1 strand=+,799,17.22,full_structure,pass,,False,True,0.0000,0.0263,0.0000,0.0000,2
250FC00716011_16_2250_10807_283504139_9409_0_15.28_1 strand=-,646,14.83,missing_3p_anchor,missing_3p,missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2253_14425_283494484_17620_0_11.52_1 strand=-,1158,11.63,full_structure,low_read_q,low_read_q,False,True,0.0000,0.0181,0.0000,0.0000,2
250FC00716011_16_2266_12650_283502642_10851_0_15.22_1 strand=-,712,15.02,full_structure,pass,,False,True,0.0000,0.0295,0.0000,0.0000,2
250FC00716011_16_2276_13166_283500806_11024_0_19.14_1 strand=+,540,19.12,full_structure,pass,,False,True,0.0000,0.0444,0.0000,0.0000,2
250FC00716011_16_2278_13831_283503364_8728_0_11.35_1 strand=-,507,11.44,internal_3p_anchor,low_read_q,low_read_q;internal_adapter;three_prime_truncated,False,False,,0.7357,0.0000,0.0000,2
250FC00716011_16_2077_9501_283503316_12293_1_15.86_1 strand=-,818,15.93,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.9156,0.0000,0.0000,3
250FC00716011_16_2086_12215_283501576_16474_0_16.89_1 strand=+,1138,17.11,full_structure,pass,,False,True,0.0000,0.0185,0.0000,0.0000,2
250FC00716011_16_2101_1230_283503784_13594_2_17.16_1 strand=+,863,17.20,full_structure,pass,,False,True,0.0000,0.0243,0.0000,0.0000,2
250FC00716011_16_2103_10501_283509045_10451_0_14.98_1 strand=-,679,15.22,full_structure,pass,,False,True,0.0000,0.0309,0.0000,0.0000,2
250FC00716011_16_2132_9342_283494682_24946_0_14.70_1 strand=+,1689,14.85,full_structure,pass,,False,True,0.0000,0.0124,0.0000,0.0000,2
250FC00716011_16_2135_9959_283508016_10714_0_14.69_1 strand=+,772,13.97,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0155,0.0000,0.0000,1
